Minute,Light Intensity,Light Direction,Sky Color RGB,Sunlight Color RGB
0,0.0,0.0,"(25, 25, 112)","(255, 204, 153)"
1,0.0,0.0,"(27, 26, 112)","(255, 204, 153)"
2,0.0,0.0,"(29, 28, 112)","(255, 204, 153)"
3,0.0,0.0,"(31, 29, 113)","(255, 204, 153)"
4,0.0,0.0,"(33, 31, 113)","(255, 204, 153)"
5,0.0,0.0,"(35, 32, 113)","(255, 204, 153)"
6,0.0,0.0,"(37, 34, 114)","(255, 204, 153)"
7,0.0,0.0,"(39, 35, 114)","(255, 204, 153)"
8,0.0,0.0,"(41, 37, 114)","(255, 204, 153)"
9,0.0,0.0,"(43, 39, 115)","(255, 204, 153)"
10,0.0,0.0,"(45, 40, 115)","(255, 204, 153)"
11,0.0,0.0,"(47, 42, 115)","(255, 204, 153)"
12,0.0,0.0,"(49, 43, 116)","(255, 204, 153)"
13,0.0,0.0,"(51, 45, 116)","(255, 204, 153)"
14,0.0,0.0,"(53, 46, 116)","(255, 204, 153)"
15,0.0,0.0,"(55, 48, 117)","(255, 204, 153)"
16,0.0,0.0,"(57, 49, 117)","(255, 204, 153)"
17,0.0,0.0,"(58, 51, 118)","(255, 204, 153)"
18,0.0,0.0,"(60, 53, 118)","(255, 204, 153)"
19,0.0,0.0,"(62, 54, 118)","(255, 204, 153)"
20,0.0,0.0,"(64, 56, 119)","(255, 204, 153)"
21,0.0,0.0,"(66, 57, 119)","(255, 204, 153)"
22,0.0,0.0,"(68, 59, 119)","(255, 204, 153)"
23,0.0,0.0,"(70, 60, 120)","(255, 204, 153)"
24,0.0,0.0,"(72, 62, 120)","(255, 204, 153)"
25,0.0,0.0,"(74, 63, 120)","(255, 204, 153)"
26,0.0,0.0,"(76, 65, 121)","(255, 204, 153)"
27,0.0,0.0,"(78, 66, 121)","(255, 204, 153)"
28,0.0,0.0,"(80, 68, 121)","(255, 204, 153)"
29,0.0,0.0,"(82, 69, 122)","(255, 204, 153)"
30,0.0,0.0,"(84, 71, 122)","(255, 204, 153)"
31,0.0,0.0,"(86, 72, 122)","(255, 204, 153)"
32,0.0,0.0,"(88, 74, 123)","(255, 204, 153)"
33,0.0,0.0,"(90, 75, 123)","(255, 204, 153)"
34,0.0,0.0,"(92, 77, 123)","(255, 204, 153)"
35,0.0,0.0,"(94, 78, 124)","(255, 204, 153)"
36,0.0,0.0,"(96, 80, 124)","(255, 204, 153)"
37,0.0,0.0,"(97, 81, 125)","(255, 204, 153)"
38,0.0,0.0,"(99, 83, 125)","(255, 204, 153)"
39,0.0,0.0,"(101, 84, 125)","(255, 204, 153)"
40,0.0,0.0,"(103, 86, 126)","(255, 204, 153)"
41,0.0,0.0,"(105, 87, 126)","(255, 204, 153)"
42,0.0,0.0,"(107, 89, 126)","(255, 204, 153)"
43,0.0,0.0,"(109, 90, 127)","(255, 204, 153)"
44,0.0,0.0,"(111, 92, 127)","(255, 204, 153)"
45,0.0,0.0,"(113, 93, 127)","(255, 204, 153)"
46,0.0,0.0,"(114, 94, 128)","(255, 204, 153)"
47,0.0,0.0,"(116, 96, 128)","(255, 204, 153)"
48,0.0,0.0,"(118, 97, 128)","(255, 204, 153)"
49,0.0,0.0,"(120, 99, 129)","(255, 204, 153)"
