Time_In_24_Hour,Minute_Count,Light_source_intensity_R,Light_source_intensity_G,Light_intensity_color_B,light_source_angle,background_color_R,background_color_G,background_color_B
00:00:00,0,0,0,0,0,32,32,64
00:01:00,1,0,0,0,0,32,32,64
00:02:00,2,0,0,0,0,32,32,64
00:03:00,3,0,0,0,0,32,32,64
00:04:00,4,0,0,0,0,32,32,64
00:05:00,5,0,0,0,0,32,32,64
00:06:00,6,0,0,0,0,32,32,64
00:07:00,7,0,0,0,0,32,32,64
00:08:00,8,0,0,0,0,32,32,64
00:09:00,9,0,0,0,0,32,32,64
00:10:00,10,0,0,0,0,32,32,64
00:11:00,11,0,0,0,0,32,32,64
00:12:00,12,0,0,0,0,32,32,64
00:13:00,13,0,0,0,0,32,32,64
00:14:00,14,0,0,0,0,32,32,64
00:15:00,15,0,0,0,0,32,32,64
00:16:00,16,0,0,0,0,32,32,64
00:17:00,17,0,0,0,0,32,32,64
00:18:00,18,0,0,0,0,32,32,64
00:19:00,19,0,0,0,0,32,32,64
00:20:00,20,0,0,0,0,32,32,64
00:21:00,21,0,0,0,0,32,32,64
00:22:00,22,0,0,0,0,32,32,64
00:23:00,23,0,0,0,0,32,32,64
00:24:00,24,0,0,0,0,32,32,64
00:25:00,25,0,0,0,0,32,32,64
00:26:00,26,0,0,0,0,32,32,64
00:27:00,27,0,0,0,0,32,32,64
00:28:00,28,0,0,0,0,32,32,64
00:29:00,29,0,0,0,0,32,32,64
00:30:00,30,0,0,0,0,32,32,64
00:31:00,31,0,0,0,0,32,32,64
00:32:00,32,0,0,0,0,32,32,64
00:33:00,33,0,0,0,0,32,32,64
00:34:00,34,0,0,0,0,32,32,64
00:35:00,35,0,0,0,0,32,32,64
00:36:00,36,0,0,0,0,32,32,64
00:37:00,37,0,0,0,0,32,32,64
00:38:00,38,0,0,0,0,32,32,64
00:39:00,39,0,0,0,0,32,32,64
00:40:00,40,0,0,0,0,32,32,64
00:41:00,41,0,0,0,0,32,32,64
00:42:00,42,0,0,0,0,32,32,64
00:43:00,43,0,0,0,0,32,32,64
00:44:00,44,0,0,0,0,32,32,64
00:45:00,45,0,0,0,0,32,32,64
00:46:00,46,0,0,0,0,32,32,64
00:47:00,47,0,0,0,0,32,32,64
00:48:00,48,0,0,0,0,32,32,64
00:49:00,49,0,0,0,0,32,32,64
00:50:00,50,0,0,0,0,32,32,64
00:51:00,51,0,0,0,0,32,32,64
00:52:00,52,0,0,0,0,32,32,64
00:53:00,53,0,0,0,0,32,32,64
00:54:00,54,0,0,0,0,32,32,64
00:55:00,55,0,0,0,0,32,32,64
00:56:00,56,0,0,0,0,32,32,64
00:57:00,57,0,0,0,0,32,32,64
00:58:00,58,0,0,0,0,32,32,64
00:59:00,59,0,0,0,0,32,32,64
01:00:00,60,0,0,0,0,32,32,64
01:01:00,61,0,0,0,0,32,32,64
01:02:00,62,0,0,0,0,32,32,64
01:03:00,63,0,0,0,0,32,32,64
01:04:00,64,0,0,0,0,32,32,64
01:05:00,65,0,0,0,0,32,32,64
01:06:00,66,0,0,0,0,32,32,64
01:07:00,67,0,0,0,0,32,32,64
01:08:00,68,0,0,0,0,32,32,64
01:09:00,69,0,0,0,0,32,32,64
01:10:00,70,0,0,0,0,32,32,64
01:11:00,71,0,0,0,0,32,32,64
01:12:00,72,0,0,0,0,32,32,64
01:13:00,73,0,0,0,0,32,32,64
01:14:00,74,0,0,0,0,32,32,64
01:15:00,75,0,0,0,0,32,32,64
01:16:00,76,0,0,0,0,32,32,64
01:17:00,77,0,0,0,0,32,32,64
01:18:00,78,0,0,0,0,32,32,64
01:19:00,79,0,0,0,0,32,32,64
01:20:00,80,0,0,0,0,32,32,64
01:21:00,81,0,0,0,0,32,32,64
01:22:00,82,0,0,0,0,32,32,64
01:23:00,83,0,0,0,0,32,32,64
01:24:00,84,0,0,0,0,32,32,64
01:25:00,85,0,0,0,0,32,32,64
01:26:00,86,0,0,0,0,32,32,64
01:27:00,87,0,0,0,0,32,32,64
01:28:00,88,0,0,0,0,32,32,64
01:29:00,89,0,0,0,0,32,32,64
01:30:00,90,0,0,0,0,32,32,64
01:31:00,91,0,0,0,0,32,32,64
01:32:00,92,0,0,0,0,32,32,64
01:33:00,93,0,0,0,0,32,32,64
01:34:00,94,0,0,0,0,32,32,64
01:35:00,95,0,0,0,0,32,32,64
01:36:00,96,0,0,0,0,32,32,64
01:37:00,97,0,0,0,0,32,32,64
01:38:00,98,0,0,0,0,32,32,64
01:39:00,99,0,0,0,0,32,32,64
01:40:00,100,0,0,0,0,32,32,64
01:41:00,101,0,0,0,0,32,32,64
01:42:00,102,0,0,0,0,32,32,64
01:43:00,103,0,0,0,0,32,32,64
01:44:00,104,0,0,0,0,32,32,64
01:45:00,105,0,0,0,0,32,32,64
01:46:00,106,0,0,0,0,32,32,64
01:47:00,107,0,0,0,0,32,32,64
01:48:00,108,0,0,0,0,32,32,64
01:49:00,109,0,0,0,0,32,32,64
01:50:00,110,0,0,0,0,32,32,64
01:51:00,111,0,0,0,0,32,32,64
01:52:00,112,0,0,0,0,32,32,64
01:53:00,113,0,0,0,0,32,32,64
01:54:00,114,0,0,0,0,32,32,64
01:55:00,115,0,0,0,0,32,32,64
01:56:00,116,0,0,0,0,32,32,64
01:57:00,117,0,0,0,0,32,32,64
01:58:00,118,0,0,0,0,32,32,64
01:59:00,119,0,0,0,0,32,32,64
02:00:00,120,0,0,0,0,32,32,64
02:01:00,121,0,0,0,0,32,32,64
02:02:00,122,0,0,0,0,32,32,64
02:03:00,123,0,0,0,0,32,32,64
02:04:00,124,0,0,0,0,32,32,64
02:05:00,125,0,0,0,0,32,32,64
02:06:00,126,0,0,0,0,32,32,64
02:07:00,127,0,0,0,0,32,32,64
02:08:00,128,0,0,0,0,32,32,64
02:09:00,129,0,0,0,0,32,32,64
02:10:00,130,0,0,0,0,32,32,64
02:11:00,131,0,0,0,0,32,32,64
02:12:00,132,0,0,0,0,32,32,64
02:13:00,133,0,0,0,0,32,32,64
02:14:00,134,0,0,0,0,32,32,64
02:15:00,135,0,0,0,0,32,32,64
02:16:00,136,0,0,0,0,32,32,64
02:17:00,137,0,0,0,0,32,32,64
02:18:00,138,0,0,0,0,32,32,64
02:19:00,139,0,0,0,0,32,32,64
02:20:00,140,0,0,0,0,32,32,64
02:21:00,141,0,0,0,0,32,32,64
02:22:00,142,0,0,0,0,32,32,64
02:23:00,143,0,0,0,0,32,32,64
02:24:00,144,0,0,0,0,32,32,64
02:25:00,145,0,0,0,0,32,32,64
02:26:00,146,0,0,0,0,32,32,64
02:27:00,147,0,0,0,0,32,32,64
02:28:00,148,0,0,0,0,32,32,64
02:29:00,149,0,0,0,0,32,32,64
02:30:00,150,0,0,0,0,32,32,64
02:31:00,151,0,0,0,0,32,32,64
02:32:00,152,0,0,0,0,32,32,64
02:33:00,153,0,0,0,0,32,32,64
02:34:00,154,0,0,0,0,32,32,64
02:35:00,155,0,0,0,0,32,32,64
02:36:00,156,0,0,0,0,32,32,64
02:37:00,157,0,0,0,0,32,32,64
02:38:00,158,0,0,0,0,32,32,64
02:39:00,159,0,0,0,0,32,32,64
02:40:00,160,0,0,0,0,32,32,64
02:41:00,161,0,0,0,0,32,32,64
02:42:00,162,0,0,0,0,32,32,64
02:43:00,163,0,0,0,0,32,32,64
02:44:00,164,0,0,0,0,32,32,64
02:45:00,165,0,0,0,0,32,32,64
02:46:00,166,0,0,0,0,32,32,64
02:47:00,167,0,0,0,0,32,32,64
02:48:00,168,0,0,0,0,32,32,64
02:49:00,169,0,0,0,0,32,32,64
02:50:00,170,0,0,0,0,32,32,64
02:51:00,171,0,0,0,0,32,32,64
02:52:00,172,0,0,0,0,32,32,64
02:53:00,173,0,0,0,0,32,32,64
02:54:00,174,0,0,0,0,32,32,64
02:55:00,175,0,0,0,0,32,32,64
02:56:00,176,0,0,0,0,32,32,64
02:57:00,177,0,0,0,0,32,32,64
02:58:00,178,0,0,0,0,32,32,64
02:59:00,179,0,0,0,0,32,32,64
03:00:00,180,0,0,0,0,32,32,64
03:01:00,181,0,0,0,0,32,32,64
03:02:00,182,0,0,0,0,32,32,64
03:03:00,183,0,0,0,0,32,32,64
03:04:00,184,0,0,0,0,32,32,64
03:05:00,185,0,0,0,0,32,32,64
03:06:00,186,0,0,0,0,32,32,64
03:07:00,187,0,0,0,0,32,32,64
03:08:00,188,0,0,0,0,32,32,64
03:09:00,189,0,0,0,0,32,32,64
03:10:00,190,0,0,0,0,32,32,64
03:11:00,191,0,0,0,0,32,32,64
03:12:00,192,0,0,0,0,32,32,64
03:13:00,193,0,0,0,0,32,32,64
03:14:00,194,0,0,0,0,32,32,64
03:15:00,195,0,0,0,0,32,32,64
03:16:00,196,0,0,0,0,32,32,64
03:17:00,197,0,0,0,0,32,32,64
03:18:00,198,0,0,0,0,32,32,64
03:19:00,199,0,0,0,0,32,32,64
03:20:00,200,0,0,0,0,32,32,64
03:21:00,201,0,0,0,0,32,32,64
03:22:00,202,0,0,0,0,32,32,64
03:23:00,203,0,0,0,0,32,32,64
03:24:00,204,0,0,0,0,32,32,64
03:25:00,205,0,0,0,0,32,32,64
03:26:00,206,0,0,0,0,32,32,64
03:27:00,207,0,0,0,0,32,32,64
03:28:00,208,0,0,0,0,32,32,64
03:29:00,209,0,0,0,0,32,32,64
03:30:00,210,0,0,0,0,32,32,64
03:31:00,211,0,0,0,0,32,32,64
03:32:00,212,0,0,0,0,32,32,64
03:33:00,213,0,0,0,0,32,32,64
03:34:00,214,0,0,0,0,32,32,64
03:35:00,215,0,0,0,0,32,32,64
03:36:00,216,0,0,0,0,32,32,64
03:37:00,217,0,0,0,0,32,32,64
03:38:00,218,0,0,0,0,32,32,64
03:39:00,219,0,0,0,0,32,32,64
03:40:00,220,0,0,0,0,32,32,64
03:41:00,221,0,0,0,0,32,32,64
03:42:00,222,0,0,0,0,32,32,64
03:43:00,223,0,0,0,0,32,32,64
03:44:00,224,0,0,0,0,32,32,64
03:45:00,225,0,0,0,0,32,32,64
03:46:00,226,0,0,0,0,32,32,64
03:47:00,227,0,0,0,0,32,32,64
03:48:00,228,0,0,0,0,32,32,64
03:49:00,229,0,0,0,0,32,32,64
03:50:00,230,0,0,0,0,32,32,64
